alcaldia_catalogo,franja,dia_semana,mes,quincena,finde,trimestre,prob_bajo,prob_medio,prob_alto,nivel_riesgo,nivel_codigo,indice_riesgo
Azcapotzalco,Madrugada (00-05),Viernes,1,0,0,1,0.7376,0.2474,0.015,Bajo,0,13.9
Azcapotzalco,Madrugada (00-05),Viernes,1,1,0,1,0.7092,0.2767,0.0141,Bajo,0,15.2
Azcapotzalco,Mañana (06-11),Viernes,1,0,0,1,0.2967,0.4928,0.2105,Medio,1,45.7
Azcapotzalco,Mañana (06-11),Viernes,1,1,0,1,0.2569,0.5551,0.1881,Medio,1,46.6
Azcapotzalco,Noche (18-23),Viernes,1,0,0,1,0.1118,0.4463,0.4418,Medio,1,66.5
Azcapotzalco,Noche (18-23),Viernes,1,1,0,1,0.1332,0.4865,0.3803,Medio,1,62.4
Azcapotzalco,Tarde (12-17),Viernes,1,0,0,1,0.1293,0.5028,0.3679,Medio,1,61.9
Azcapotzalco,Tarde (12-17),Viernes,1,1,0,1,0.1296,0.5573,0.313,Medio,1,59.2
Azcapotzalco,Madrugada (00-05),Domingo,2,0,1,1,0.3593,0.5136,0.127,Medio,1,38.4
Azcapotzalco,Madrugada (00-05),Domingo,2,1,1,1,0.3339,0.5408,0.1254,Medio,1,39.6
Azcapotzalco,Mañana (06-11),Domingo,2,0,1,1,0.3962,0.5015,0.1022,Medio,1,35.3
Azcapotzalco,Mañana (06-11),Domingo,2,1,1,1,0.3683,0.5268,0.1049,Medio,1,36.8
Azcapotzalco,Noche (18-23),Domingo,2,0,1,1,0.1954,0.5232,0.2813,Medio,1,54.3
Azcapotzalco,Noche (18-23),Domingo,2,1,1,1,0.1755,0.5503,0.2742,Medio,1,54.9
Azcapotzalco,Tarde (12-17),Domingo,2,0,1,1,0.1682,0.5653,0.2665,Medio,1,54.9
Azcapotzalco,Tarde (12-17),Domingo,2,1,1,1,0.1493,0.5856,0.2652,Medio,1,55.8
Azcapotzalco,Madrugada (00-05),Jueves,2,0,0,1,0.8026,0.1853,0.012,Bajo,0,10.5
Azcapotzalco,Madrugada (00-05),Jueves,2,1,0,1,0.8016,0.1858,0.0126,Bajo,0,10.6
Azcapotzalco,Mañana (06-11),Jueves,2,0,0,1,0.2681,0.5121,0.2198,Medio,1,47.6
Azcapotzalco,Mañana (06-11),Jueves,2,1,0,1,0.2575,0.5009,0.2416,Medio,1,49.2
Azcapotzalco,Noche (18-23),Jueves,2,0,0,1,0.1927,0.5206,0.2868,Medio,1,54.7
Azcapotzalco,Noche (18-23),Jueves,2,1,0,1,0.1808,0.5267,0.2925,Medio,1,55.6
Azcapotzalco,Tarde (12-17),Jueves,2,0,0,1,0.1403,0.5442,0.3156,Medio,1,58.8
Azcapotzalco,Tarde (12-17),Jueves,2,1,0,1,0.154,0.5074,0.3387,Medio,1,59.2
Azcapotzalco,Madrugada (00-05),Lunes,2,0,0,1,0.7807,0.2055,0.0138,Bajo,0,11.7
Azcapotzalco,Madrugada (00-05),Lunes,2,1,0,1,0.7633,0.2225,0.0142,Bajo,0,12.5
Azcapotzalco,Mañana (06-11),Lunes,2,0,0,1,0.3317,0.4676,0.2007,Medio,1,43.5
Azcapotzalco,Mañana (06-11),Lunes,2,1,0,1,0.2997,0.4988,0.2015,Medio,1,45.1
Azcapotzalco,Noche (18-23),Lunes,2,0,0,1,0.2183,0.5256,0.2562,Medio,1,51.9
Azcapotzalco,Noche (18-23),Lunes,2,1,0,1,0.195,0.5529,0.2522,Medio,1,52.9
Azcapotzalco,Tarde (12-17),Lunes,2,0,0,1,0.1692,0.4522,0.3786,Medio,1,60.5
Azcapotzalco,Tarde (12-17),Lunes,2,1,0,1,0.1477,0.4786,0.3736,Medio,1,61.3
Azcapotzalco,Madrugada (00-05),Martes,2,0,0,1,0.8604,0.1304,0.0092,Bajo,0,7.4
Azcapotzalco,Madrugada (00-05),Martes,2,1,0,1,0.8579,0.1325,0.0096,Bajo,0,7.6
Azcapotzalco,Mañana (06-11),Martes,2,0,0,1,0.2484,0.5194,0.2322,Medio,1,49.2
Azcapotzalco,Mañana (06-11),Martes,2,1,0,1,0.2299,0.5222,0.248,Medio,1,50.9
